Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	01_01 Spectral Count	01_02 Spectral Count	02_01 Spectral Count	02_02 Spectral Count	01_01 Unique Spectral Count	01_02 Unique Spectral Count	02_01 Unique Spectral Count	02_02 Unique Spectral Count	01_01 Total Spectral Count	01_02 Total Spectral Count	02_01 Total Spectral Count	02_02 Total Spectral Count	01_01 Intensity	01_02 Intensity	02_01 Intensity	02_02 Intensity	01_01 Unique Intensity	01_02 Unique Intensity	02_01 Unique Intensity	02_02 Unique Intensity	01_01 Total Intensity	01_02 Total Intensity	02_01 Total Intensity	02_02 Total Intensity	01_01 MaxLFQ Intensity	01_02 MaxLFQ Intensity	02_01 MaxLFQ Intensity	02_02 MaxLFQ Intensity	01_01 MaxLFQ Unique Intensity	01_02 MaxLFQ Unique Intensity	02_01 MaxLFQ Unique Intensity	02_02 MaxLFQ Unique Intensity	01_01 MaxLFQ Total Intensity	01_02 MaxLFQ Total Intensity	02_01 MaxLFQ Total Intensity	02_02 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|P15169|CBPN_HUMAN	P15169	CBPN_HUMAN	CPN1	458	24.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carboxypeptidase N catalytic chain	1.0000	0.9990	3	12	12	12	4	1	4	3	4	1	4	3	4	1	4	3	5926889.5	2099139.2	9432228.0	4767566.5	5926889.5	2099139.2	9432228.0	4767566.5	5926889.5	2099139.2	9432228.0	4767566.5	3399043.8	1888472.5	2788174.0	4123359.0	3399043.8	1888472.5	2788174.0	4123359.0	3399043.8	1888472.5	2788174.0	4123359.0	
sp|P15289|ARSA_HUMAN	P15289	ARSA_HUMAN	ARSA	507	15.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Arylsulfatase A	1.0000	0.9974	4	12	9	12	6	1	2	3	5	1	1	2	6	1	2	3	1.1434438E7	2498858.8	5944241.0	7707523.0	8552146.0	2498858.8	3143619.5	4865150.5	1.1434438E7	2498858.8	5944241.0	7707523.0	5379139.0	2792232.0	3338926.0	3508878.0	5040504.0	2498858.8	3143619.5	2850625.0	5379139.0	2792232.0	3338926.0	3508878.0	
sp|P15328|FOLR1_HUMAN	P15328	FOLR1_HUMAN	FOLR1	257	18.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Folate receptor alpha	1.0000	0.9990	4	11	11	11	4	1	1	5	4	1	1	5	4	1	1	5	6276759.0	2846070.8	638620.4	9918455.0	6276759.0	2846070.8	638620.4	9918455.0	6276759.0	2846070.8	638620.4	9918455.0	3735179.2	2132954.5	2024588.5	4611804.0	3735179.2	2132954.5	2024588.5	4611804.0	3735179.2	2132954.5	2024588.5	4611804.0	
sp|P15509|CSF2R_HUMAN	P15509	CSF2R_HUMAN	CSF2RA	400	15.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	1.0000	0.9990	3	18	18	18	7	2	2	7	7	2	2	7	7	2	2	7	5880111.0	1607670.4	4259772.0	5988599.0	5880111.0	1607670.4	4259772.0	5988599.0	5880111.0	1607670.4	4259772.0	5988599.0	2651644.0	2109128.0	2285445.8	2819886.2	2651644.0	2109128.0	2285445.8	2819886.2	2651644.0	2109128.0	2285445.8	2819886.2	
sp|P15586|GNS_HUMAN	P15586	GNS_HUMAN	GNS	552	20.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	N-acetylglucosamine-6-sulfatase	1.0000	0.9990	5	30	30	30	15	2	3	10	15	2	3	10	15	2	3	10	1.5820745E7	8923606.0	5864800.5	8925738.0	1.5820745E7	8923606.0	5864800.5	8925738.0	1.5820745E7	8923606.0	5864800.5	8925738.0	6962431.5	4237830.5	4137182.8	5659502.5	6962431.5	4237830.5	4137182.8	5659502.5	6962431.5	4237830.5	4137182.8	5659502.5	
sp|P15924|DESP_HUMAN	P15924	DESP_HUMAN	DSP	2871	21.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Desmoplakin	1.0000	0.9990	31	73	73	73	26	3	4	40	26	3	4	40	26	3	4	40	8939236.0	2930653.2	0.0	8363718.5	8939236.0	2930653.2	0.0	8363718.5	8939236.0	2930653.2	0.0	8363718.5	3000599.2	2043995.1	2918415.5	3242146.0	3000599.2	2043995.1	2918415.5	3242146.0	3000599.2	2043995.1	2918415.5	3242146.0	
sp|P16035|TIMP2_HUMAN	P16035	TIMP2_HUMAN	TIMP2	220	23.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metalloproteinase inhibitor 2	1.0000	0.9990	7	53	53	53	15	4	19	15	15	4	19	15	15	4	19	15	2.875386E7	8488557.0	854400.9	2.0102124E7	2.875386E7	8488557.0	854400.9	2.0102124E7	2.875386E7	8488557.0	854400.9	2.0102124E7	1.0924641E7	5340657.0	1833427.5	8534408.0	1.0924641E7	5340657.0	1833427.5	8534408.0	1.0924641E7	5340657.0	1833427.5	8534408.0	
sp|P16070|CD44_HUMAN	P16070	CD44_HUMAN	CD44	742	25.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD44 antigen	1.0000	0.9987	2	41	41	41	1	27	7	6	1	27	7	6	1	27	7	6	1188692.6	1556496.1	408791.12	2.1013406E7	1188692.6	1556496.1	408791.12	2.1013406E7	1188692.6	1556496.1	408791.12	2.1013406E7	971279.25	1271811.0	1681250.4	1.4324023E7	971279.25	1271811.0	1681250.4	1.4324023E7	971279.25	1271811.0	1681250.4	1.4324023E7	
sp|P16112|PGCA_HUMAN	P16112	PGCA_HUMAN	ACAN	2530	7.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aggrecan core protein	1.0000	0.9990	5	30	30	30	12	2	3	13	12	2	3	13	12	2	3	13	1.2473969E7	4810627.0	2902528.0	6508151.0	1.2473969E7	4810627.0	2902528.0	6508151.0	1.2473969E7	4810627.0	2902528.0	6508151.0	5151915.5	3831518.0	2422129.2	3271236.0	5151915.5	3831518.0	2422129.2	3271236.0	5151915.5	3831518.0	2422129.2	3271236.0	
sp|P16234|PGFRA_HUMAN	P16234	PGFRA_HUMAN	PDGFRA	1089	10.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Platelet-derived growth factor receptor alpha	1.0000	0.9990	3	6	6	6	2	0	1	3	2	0	1	3	2	0	1	3	577263.9	0.0	0.0	879089.2	577263.9	0.0	0.0	879089.2	577263.9	0.0	0.0	879089.2	577263.9	0.0	0.0	879089.2	577263.9	0.0	0.0	879089.2	577263.9	0.0	0.0	879089.2	
sp|P16519|NEC2_HUMAN	P16519	NEC2_HUMAN	PCSK2	638	19.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuroendocrine convertase 2	1.0000	0.9990	2	3	3	3	1	0	2	0	1	0	2	0	1	0	2	0	562580.44	0.0	72036.49	0.0	562580.44	0.0	72036.49	0.0	562580.44	0.0	72036.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P16870|CBPE_HUMAN	P16870	CBPE_HUMAN	CPE	476	30.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carboxypeptidase E	1.0000	0.9990	11	66	66	66	23	7	14	22	23	7	14	22	23	7	14	22	5.3428084E7	1.5167716E7	4.4921692E7	4.7982184E7	5.3428084E7	1.5167716E7	4.4921692E7	4.7982184E7	5.3428084E7	1.5167716E7	4.4921692E7	4.7982184E7	4.1310076E7	2.2365024E7	4.755594E7	4.3155016E7	4.1310076E7	2.2365024E7	4.755594E7	4.3155016E7	4.1310076E7	2.2365024E7	4.755594E7	4.3155016E7	
sp|P16930|FAAA_HUMAN	P16930	FAAA_HUMAN	FAH	419	17.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fumarylacetoacetase	1.0000	0.9990	3	7	7	7	2	0	2	3	2	0	2	3	2	0	2	3	963733.0	0.0	1092517.2	1721681.1	963733.0	0.0	1092517.2	1721681.1	963733.0	0.0	1092517.2	1721681.1	714965.1	0.0	892124.7	1468704.9	714965.1	0.0	892124.7	1468704.9	714965.1	0.0	892124.7	1468704.9	
sp|P16949|STMN1_HUMAN	P16949	STMN1_HUMAN	STMN1	149	41.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stathmin	1.0000	0.9986	5	15	11	15	8	0	0	7	7	0	0	4	8	0	0	7	1700757.5	0.0	0.0	1900534.4	1866502.1	0.0	0.0	1200895.1	1700757.5	0.0	0.0	1900534.4	954257.06	0.0	0.0	1299930.1	3072274.8	0.0	0.0	403761.94	954257.06	0.0	0.0	1299930.1	
sp|P17050|NAGAB_HUMAN	P17050	NAGAB_HUMAN	NAGA	411	17.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-N-acetylgalactosaminidase	1.0000	0.9990	3	7	7	7	2	0	1	4	2	0	1	4	2	0	1	4	975685.6	0.0	706534.7	621526.8	975685.6	0.0	706534.7	621526.8	975685.6	0.0	706534.7	621526.8	1354644.2	0.0	980954.44	862985.94	1354644.2	0.0	980954.44	862985.94	1354644.2	0.0	980954.44	862985.94	
sp|P17174|AATC_HUMAN	P17174	AATC_HUMAN	GOT1	413	40.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aspartate aminotransferase, cytoplasmic	1.0000	0.9990	14	142	142	142	20	57	44	21	20	57	44	21	20	57	44	21	2.30279744E8	5.4835788E7	1.13139648E8	7.3507912E7	2.30279744E8	5.4835788E7	1.13139648E8	7.3507912E7	2.30279744E8	5.4835788E7	1.13139648E8	7.3507912E7	1.8400664E8	3.8091516E7	3.833106E7	5.307596E7	1.8400664E8	3.8091516E7	3.833106E7	5.307596E7	1.8400664E8	3.8091516E7	3.833106E7	5.307596E7	
sp|P17600|SYN1_HUMAN	P17600	SYN1_HUMAN	SYN1	705	17.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synapsin-1	1.0000	0.9990	3	7	7	7	3	0	0	4	3	0	0	4	3	0	0	4	6928474.5	0.0	0.0	1168513.5	6928474.5	0.0	0.0	1168513.5	6928474.5	0.0	0.0	1168513.5	2251081.5	0.0	0.0	1770835.1	2251081.5	0.0	0.0	1770835.1	2251081.5	0.0	0.0	1770835.1	
sp|P17677|NEUM_HUMAN	P17677	NEUM_HUMAN	GAP43	238	76.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuromodulin	1.0000	0.9990	12	47	47	47	20	3	3	21	20	3	3	21	20	3	3	21	1.3640696E7	2074924.0	850989.0	9157634.0	1.3640696E7	2074924.0	850989.0	9157634.0	1.3640696E7	2074924.0	850989.0	9157634.0	4079546.0	3267882.2	1931469.2	3647369.0	4079546.0	3267882.2	1931469.2	3647369.0	4079546.0	3267882.2	1931469.2	3647369.0	
sp|P17900|SAP3_HUMAN	P17900	SAP3_HUMAN	GM2A	193	17.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ganglioside GM2 activator	1.0000	0.9990	5	30	30	30	6	3	14	7	6	3	14	7	6	3	14	7	3.1786036E7	1789824.2	1.0569046E7	1.824716E7	3.1786036E7	1789824.2	1.0569046E7	1.824716E7	3.1786036E7	1789824.2	1.0569046E7	1.824716E7	1.945187E7	1.1033037E7	8050540.0	1.144678E7	1.945187E7	1.1033037E7	8050540.0	1.144678E7	1.945187E7	1.1033037E7	8050540.0	1.144678E7	
sp|P18065|IBP2_HUMAN	P18065	IBP2_HUMAN	IGFBP2	325	52.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin-like growth factor-binding protein 2	1.0000	0.9990	10	286	286	286	79	64	62	81	79	64	62	81	79	64	62	81	5.7499896E7	2.4975502E7	2.12378E8	7.0872624E7	5.7499896E7	2.4975502E7	2.12378E8	7.0872624E7	5.7499896E7	2.4975502E7	2.12378E8	7.0872624E7	5.3019272E7	3.3665836E7	2.5377046E7	5.805246E7	5.3019272E7	3.3665836E7	2.5377046E7	5.805246E7	5.3019272E7	3.3665836E7	2.5377046E7	5.805246E7	
sp|P18206|VINC_HUMAN	P18206	VINC_HUMAN	VCL	1134	11.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vinculin	1.0000	0.9990	5	6	6	6	6	0	0	0	6	0	0	0	6	0	0	0	3027924.5	0.0	0.0	971436.4	3027924.5	0.0	0.0	971436.4	3027924.5	0.0	0.0	971436.4	2018794.6	0.0	0.0	767519.5	2018794.6	0.0	0.0	767519.5	2018794.6	0.0	0.0	767519.5	
sp|P19021|AMD_HUMAN	P19021	AMD_HUMAN	PAM	973	37.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidyl-glycine alpha-amidating monooxygenase	1.0000	0.9990	18	140	140	140	46	14	33	47	46	14	33	47	46	14	33	47	1.1550016E8	1.0226144E8	3.8814928E7	1.23130704E8	1.1550016E8	1.0226144E8	3.8814928E7	1.23130704E8	1.1550016E8	1.0226144E8	3.8814928E7	1.23130704E8	5.8468092E7	7.8438624E7	5.9923036E7	5.8043968E7	5.8468092E7	7.8438624E7	5.9923036E7	5.8043968E7	5.8468092E7	7.8438624E7	5.9923036E7	5.8043968E7	
sp|P19022|CADH2_HUMAN	P19022	CADH2_HUMAN	CDH2	906	26.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cadherin-2	1.0000	0.9990	15	133	133	133	40	16	40	37	40	16	40	37	40	16	40	37	1.9243772E7	2.5816936E7	2.5664686E7	3.1646028E7	1.9243772E7	2.5816936E7	2.5664686E7	3.1646028E7	1.9243772E7	2.5816936E7	2.5664686E7	3.1646028E7	1.1035475E7	6.6486584E7	2.2204296E7	1.7562536E7	1.1035475E7	6.6486584E7	2.2204296E7	1.7562536E7	1.1035475E7	6.6486584E7	2.2204296E7	1.7562536E7	
sp|P19320|VCAM1_HUMAN	P19320	VCAM1_HUMAN	VCAM1	739	24.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vascular cell adhesion protein 1	1.0000	0.9990	11	40	40	40	14	5	3	18	14	5	3	18	14	5	3	18	9717256.0	5045876.0	2724504.5	9691813.0	9717256.0	5045876.0	2724504.5	9691813.0	9717256.0	5045876.0	2724504.5	9691813.0	3723927.2	3676357.5	2204726.0	3715776.2	3723927.2	3676357.5	2204726.0	3715776.2	3723927.2	3676357.5	2204726.0	3715776.2	
sp|P19367|HXK1_HUMAN	P19367	HXK1_HUMAN	HK1	917	14.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hexokinase-1	1.0000	0.9989	4	9	9	9	7	0	0	2	7	0	0	2	7	0	0	2	4073272.0	0.0	0.0	338346.28	4073272.0	0.0	0.0	338346.28	4073272.0	0.0	0.0	338346.28	1885110.5	0.0	0.0	338346.28	1885110.5	0.0	0.0	338346.28	1885110.5	0.0	0.0	338346.28	
sp|P19652|A1AG2_HUMAN	P19652	A1AG2_HUMAN	ORM2	201	37.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-1-acid glycoprotein 2	1.0000	0.9990	6	177	177	242	51	45	47	34	51	45	47	34	67	54	65	56	1.26397197E9	5.7183539E8	2504954.0	8.8931046E8	1.26397197E9	5.7183539E8	2504954.0	8.8931046E8	1.27292557E9	7.8477907E8	1.8953224E8	9.4524544E8	2.17427552E8	1.59955472E8	7.2941688E7	2.40556192E8	2.17427552E8	1.59955472E8	7.2941688E7	2.40556192E8	5.3705434E8	4.78777696E8	2.72451904E8	5.9447526E8	
sp|P19823|ITIH2_HUMAN	P19823	ITIH2_HUMAN	ITIH2	946	26.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inter-alpha-trypsin inhibitor heavy chain H2	1.0000	0.9990	16	224	224	224	59	21	81	63	59	21	81	63	59	21	81	63	1.8135256E8	3.2586176E7	5.0583992E7	4.361796E7	1.8135256E8	3.2586176E7	5.0583992E7	4.361796E7	1.8135256E8	3.2586176E7	5.0583992E7	4.361796E7	4.7400716E7	3.318106E7	5.038888E7	3.8227452E7	4.7400716E7	3.318106E7	5.038888E7	3.8227452E7	4.7400716E7	3.318106E7	5.038888E7	3.8227452E7	
sp|P19827|ITIH1_HUMAN	P19827	ITIH1_HUMAN	ITIH1	911	15.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inter-alpha-trypsin inhibitor heavy chain H1	1.0000	0.9990	9	84	84	84	23	11	24	26	23	11	24	26	23	11	24	26	3.8273488E7	2.4134432E7	2.27438E7	2.908876E7	3.8273488E7	2.4134432E7	2.27438E7	2.908876E7	3.8273488E7	2.4134432E7	2.27438E7	2.908876E7	1.3593388E7	1.5029106E7	2.3611898E7	1.6091278E7	1.3593388E7	1.5029106E7	2.3611898E7	1.6091278E7	1.3593388E7	1.5029106E7	2.3611898E7	1.6091278E7	
sp|P20138|CD33_HUMAN	P20138	CD33_HUMAN	CD33	364	17.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myeloid cell surface antigen CD33	1.0000	0.9989	3	8	8	8	2	1	1	4	2	1	1	4	2	1	1	4	2736249.0	2241792.2	3251314.0	2090587.5	2736249.0	2241792.2	3251314.0	2090587.5	2736249.0	2241792.2	3251314.0	2090587.5	1956888.8	2241792.2	3251314.0	1456819.1	1956888.8	2241792.2	3251314.0	1456819.1	1956888.8	2241792.2	3251314.0	1456819.1	
sp|P20333|TNR1B_HUMAN	P20333	TNR1B_HUMAN	TNFRSF1B	461	12.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tumor necrosis factor receptor superfamily member 1B	1.0000	0.9990	2	6	6	6	2	0	1	3	2	0	1	3	2	0	1	3	2384292.5	0.0	0.0	1060760.0	2384292.5	0.0	0.0	1060760.0	2384292.5	0.0	0.0	1060760.0	1785049.1	0.0	0.0	1060760.0	1785049.1	0.0	0.0	1060760.0	1785049.1	0.0	0.0	1060760.0	
sp|P20742|PZP_HUMAN	P20742	PZP_HUMAN	PZP	1482	10.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pregnancy zone protein	1.0000	0.9990	6	9	9	164	2	0	0	7	2	0	0	7	26	46	61	31	1709548.5	0.0	0.0	3245188.5	1709548.5	0.0	0.0	3245188.5	1.07734912E9	1.28210112E9	8.1826835E8	9.6963142E8	773668.8	0.0	0.0	1479514.0	773668.8	0.0	0.0	1479514.0	3.91579712E8	5.046912E8	3.48439296E8	4.1312496E8	
sp|P20774|MIME_HUMAN	P20774	MIME_HUMAN	OGN	298	26.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mimecan	1.0000	0.9990	7	134	134	134	36	7	48	43	36	7	48	43	36	7	48	43	1.843154E7	3.7859016E7	4.6605344E7	2.4027648E7	1.843154E7	3.7859016E7	4.6605344E7	2.4027648E7	1.843154E7	3.7859016E7	4.6605344E7	2.4027648E7	1.3808082E7	2.7271598E7	2.1469942E7	2.258726E7	1.3808082E7	2.7271598E7	2.1469942E7	2.258726E7	1.3808082E7	2.7271598E7	2.1469942E7	2.258726E7	
sp|P20827|EFNA1_HUMAN	P20827	EFNA1_HUMAN	EFNA1	205	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ephrin-A1	1.0000	0.9988	2	13	13	13	4	4	3	2	4	4	3	2	4	4	3	2	8239388.0	5867446.0	1094635.0	4480843.0	8239388.0	5867446.0	1094635.0	4480843.0	8239388.0	5867446.0	1094635.0	4480843.0	2686724.8	1.2238418E7	2283208.2	2058896.4	2686724.8	1.2238418E7	2283208.2	2058896.4	2686724.8	1.2238418E7	2283208.2	2058896.4	
sp|P20916|MAG_HUMAN	P20916	MAG_HUMAN	MAG	626	11.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myelin-associated glycoprotein	1.0000	0.9990	2	11	11	11	4	2	1	4	4	2	1	4	4	2	1	4	6383100.5	2056992.4	0.0	2033645.1	6383100.5	2056992.4	0.0	2033645.1	6383100.5	2056992.4	0.0	2033645.1	3476705.0	2056992.4	0.0	1104429.4	3476705.0	2056992.4	0.0	1104429.4	3476705.0	2056992.4	0.0	1104429.4	
sp|P20930|FILA_HUMAN	P20930	FILA_HUMAN	FLG	4061	27.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filaggrin	1.0000	0.9990	5	14	14	14	7	0	0	7	7	0	0	7	7	0	0	7	1935796.6	0.0	0.0	7533607.0	1935796.6	0.0	0.0	7533607.0	1935796.6	0.0	0.0	7533607.0	1111075.1	0.0	0.0	2997925.0	1111075.1	0.0	0.0	2997925.0	1111075.1	0.0	0.0	2997925.0	
sp|P20933|ASPG_HUMAN	P20933	ASPG_HUMAN	AGA	346	34.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	1.0000	0.9990	5	18	18	18	10	5	0	3	10	5	0	3	10	5	0	3	8396042.0	1.3920992E7	0.0	7717226.5	8396042.0	1.3920992E7	0.0	7717226.5	8396042.0	1.3920992E7	0.0	7717226.5	4734633.0	1.4381886E7	0.0	3243479.5	4734633.0	1.4381886E7	0.0	3243479.5	4734633.0	1.4381886E7	0.0	3243479.5	
sp|P21333|FLNA_HUMAN	P21333	FLNA_HUMAN	FLNA	2647	14.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filamin-A	1.0000	0.9990	9	13	13	13	10	0	0	3	10	0	0	3	10	0	0	3	2913463.0	0.0	0.0	1201228.9	2913463.0	0.0	0.0	1201228.9	2913463.0	0.0	0.0	1201228.9	1057355.6	0.0	0.0	915133.4	1057355.6	0.0	0.0	915133.4	1057355.6	0.0	0.0	915133.4	
sp|P21802|FGFR2_HUMAN	P21802	FGFR2_HUMAN	FGFR2	821	27.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fibroblast growth factor receptor 2	1.0000	0.9990	5	44	44	44	13	6	12	13	13	6	12	13	13	6	12	13	1.5187054E7	2.0155756E7	2354331.0	1.591991E7	1.5187054E7	2.0155756E7	2354331.0	1.591991E7	1.5187054E7	2.0155756E7	2354331.0	1.591991E7	1.400278E7	3.6710184E7	4473894.0	1.3602092E7	1.400278E7	3.6710184E7	4473894.0	1.3602092E7	1.400278E7	3.6710184E7	4473894.0	1.3602092E7	
sp|P22061|PIMT_HUMAN	P22061	PIMT_HUMAN	PCMT1	227	16.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	1.0000	0.9987	4	7	7	7	3	0	0	4	3	0	0	4	3	0	0	4	1291040.0	0.0	0.0	3653718.0	1291040.0	0.0	0.0	3653718.0	1291040.0	0.0	0.0	3653718.0	943404.06	0.0	0.0	1734453.9	943404.06	0.0	0.0	1734453.9	943404.06	0.0	0.0	1734453.9	
sp|P22303|ACES_HUMAN	P22303	ACES_HUMAN	ACHE	614	6.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acetylcholinesterase	1.0000	0.9990	4	12	12	12	4	2	1	5	4	2	1	5	4	2	1	5	1.0837685E7	1666325.5	1017724.0	3760773.8	1.0837685E7	1666325.5	1017724.0	3760773.8	1.0837685E7	1666325.5	1017724.0	3760773.8	4214298.5	1621685.8	1134504.2	1606742.0	4214298.5	1621685.8	1134504.2	1606742.0	4214298.5	1621685.8	1134504.2	1606742.0	
sp|P22304|IDS_HUMAN	P22304	IDS_HUMAN	IDS	550	16.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Iduronate 2-sulfatase	1.0000	0.9990	6	31	31	31	10	3	2	16	10	3	2	16	10	3	2	16	1.326737E7	1.1775158E7	1037708.56	2.0837128E7	1.326737E7	1.1775158E7	1037708.56	2.0837128E7	1.326737E7	1.1775158E7	1037708.56	2.0837128E7	1.2000696E7	9247275.0	2865400.0	7003988.5	1.2000696E7	9247275.0	2865400.0	7003988.5	1.2000696E7	9247275.0	2865400.0	7003988.5	
sp|P22352|GPX3_HUMAN	P22352	GPX3_HUMAN	GPX3	226	42.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione peroxidase 3	1.0000	0.9990	4	91	91	91	24	23	20	24	24	23	20	24	24	23	20	24	2.4592342E7	8490434.0	4.8738144E7	1.8428698E7	2.4592342E7	8490434.0	4.8738144E7	1.8428698E7	2.4592342E7	8490434.0	4.8738144E7	1.8428698E7	9686597.0	8475296.0	3.5199688E7	1.1553415E7	9686597.0	8475296.0	3.5199688E7	1.1553415E7	9686597.0	8475296.0	3.5199688E7	1.1553415E7	
sp|P22607|FGFR3_HUMAN	P22607	FGFR3_HUMAN	FGFR3	806	18.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Fibroblast growth factor receptor 3	1.0000	0.9983	4	18	18	18	6	2	4	6	6	2	4	6	6	2	4	6	1.4945771E7	0.0	6515904.5	2739260.0	1.4945771E7	0.0	6515904.5	2739260.0	1.4945771E7	0.0	6515904.5	2739260.0	1.0052847E7	0.0	7513803.5	1912428.1	1.0052847E7	0.0	7513803.5	1912428.1	1.0052847E7	0.0	7513803.5	1912428.1	
sp|P22676|CALB2_HUMAN	P22676	CALB2_HUMAN	CALB2	271	36.50	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Calretinin	1.0000	0.9990	3	4	4	6	3	0	0	1	3	0	0	1	3	0	0	3	1221660.4	0.0	0.0	1428956.4	1221660.4	0.0	0.0	1428956.4	1221660.4	0.0	0.0	2249018.2	780817.75	0.0	0.0	862718.06	780817.75	0.0	0.0	862718.06	780817.75	0.0	0.0	862718.06	
sp|P22692|IBP4_HUMAN	P22692	IBP4_HUMAN	IGFBP4	258	43.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Insulin-like growth factor-binding protein 4	1.0000	0.9990	6	62	62	62	12	17	11	22	12	17	11	22	12	17	11	22	1.03487312E8	1.5257553E7	6.5335068E7	1.10211808E8	1.03487312E8	1.5257553E7	6.5335068E7	1.10211808E8	1.03487312E8	1.5257553E7	6.5335068E7	1.10211808E8	7.6798968E7	1.2935691E7	3.5346528E7	5.2987288E7	7.6798968E7	1.2935691E7	3.5346528E7	5.2987288E7	7.6798968E7	1.2935691E7	3.5346528E7	5.2987288E7	
sp|P22735|TGM1_HUMAN	P22735	TGM1_HUMAN	TGM1	817	22.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein-glutamine gamma-glutamyltransferase K	1.0000	0.9990	4	12	12	12	6	0	0	6	6	0	0	6	6	0	0	6	2939889.2	0.0	0.0	3665153.8	2939889.2	0.0	0.0	3665153.8	2939889.2	0.0	0.0	3665153.8	1068901.1	0.0	0.0	2101271.5	1068901.1	0.0	0.0	2101271.5	1068901.1	0.0	0.0	2101271.5	
sp|P22748|CAH4_HUMAN	P22748	CAH4_HUMAN	CA4	312	27.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbonic anhydrase 4	1.0000	0.9990	7	32	32	32	11	5	7	9	11	5	7	9	11	5	7	9	7452445.0	1.255338E7	9047495.0	8267905.0	7452445.0	1.255338E7	9047495.0	8267905.0	7452445.0	1.255338E7	9047495.0	8267905.0	3960933.8	8907810.0	5563388.0	4987028.0	3960933.8	8907810.0	5563388.0	4987028.0	3960933.8	8907810.0	5563388.0	4987028.0	
sp|P22792|CPN2_HUMAN	P22792	CPN2_HUMAN	CPN2	545	13.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carboxypeptidase N subunit 2	1.0000	0.9990	4	15	15	15	7	0	4	4	7	0	4	4	7	0	4	4	2698891.0	0.0	0.0	2869494.8	2698891.0	0.0	0.0	2869494.8	2698891.0	0.0	0.0	2869494.8	1385774.2	0.0	0.0	1247498.8	1385774.2	0.0	0.0	1247498.8	1385774.2	0.0	0.0	1247498.8	
